check,line_item,fiscal_year,selected_value,other_value,other_accession,status
companyfacts_api,total_liabilities,2023,43936.0,43936.0,0000909832-24-000049,MATCH
companyfacts_api,costco_equity,2023,25058.0,25058.0,0000909832-24-000049,MATCH
companyfacts_api,total_equity,2023,25058.0,25058.0,0000909832-24-000049,MATCH
companyfacts_api,total_liabilities_equity,2023,68994.0,68994.0,0000909832-24-000049,MATCH
companyfacts_api,shares_outstanding,2023,442.793,442.793,0000909832-24-000049,MATCH
companyfacts_api,cash,2024,9906.0,9906.0,0000909832-24-000049,MATCH
companyfacts_api,short_term_investments,2024,1238.0,1238.0,0000909832-24-000049,MATCH
companyfacts_api,receivables,2024,2721.0,2721.0,0000909832-24-000049,MATCH
companyfacts_api,inventories,2024,18647.0,18647.0,0000909832-24-000049,MATCH
companyfacts_api,other_current_assets,2024,1734.0,1734.0,0000909832-24-000049,MATCH
companyfacts_api,total_current_assets,2024,34246.0,34246.0,0000909832-24-000049,MATCH
companyfacts_api,ppe_net,2024,29032.0,29032.0,0000909832-24-000049,MATCH
companyfacts_api,operating_lease_rou,2024,2617.0,2617.0,0000909832-24-000049,MATCH
companyfacts_api,other_lt_assets,2024,3936.0,3936.0,0000909832-24-000049,MATCH
companyfacts_api,total_assets,2024,69831.0,69831.0,0000909832-24-000049,MATCH
companyfacts_api,accounts_payable,2024,19421.0,19421.0,0000909832-24-000049,MATCH
companyfacts_api,accrued_salaries,2024,4794.0,4794.0,0000909832-24-000049,MATCH
companyfacts_api,accrued_member_rewards,2024,2435.0,2435.0,0000909832-24-000049,MATCH
companyfacts_api,deferred_membership_fees,2024,2501.0,2501.0,0000909832-24-000049,MATCH
companyfacts_api,current_debt,2024,103.0,103.0,0000909832-24-000049,MATCH
companyfacts_api,other_current_liabilities,2024,6210.0,6210.0,0000909832-24-000049,MATCH
companyfacts_api,total_current_liabilities,2024,35464.0,35464.0,0000909832-24-000049,MATCH
companyfacts_api,long_term_debt,2024,5794.0,5794.0,0000909832-24-000049,MATCH
companyfacts_api,lt_operating_lease_liab,2024,2375.0,2375.0,0000909832-24-000049,MATCH
companyfacts_api,other_lt_liabilities,2024,2576.0,2576.0,0000909832-24-000049,MATCH
companyfacts_api,total_liabilities,2024,46209.0,46209.0,0000909832-24-000049,MATCH
companyfacts_api,costco_equity,2024,23622.0,23622.0,0000909832-24-000049,MATCH
companyfacts_api,total_equity,2024,23622.0,23622.0,0000909832-24-000049,MATCH
companyfacts_api,total_liabilities_equity,2024,69831.0,69831.0,0000909832-24-000049,MATCH
companyfacts_api,shares_outstanding,2024,443.126,443.126,0000909832-24-000049,MATCH
companyfacts_api,cfo,2020,8861.0,8861.0,0000909832-22-000021,MATCH
companyfacts_api,d_and_a,2020,1645.0,1645.0,0000909832-22-000021,MATCH
companyfacts_api,sbc,2020,619.0,619.0,0000909832-22-000021,MATCH
companyfacts_api,chg_inventories,2020,791.0,791.0,0000909832-22-000021,MATCH
companyfacts_api,chg_accounts_payable,2020,2261.0,2261.0,0000909832-22-000021,MATCH
companyfacts_api,chg_other_wc,2020,-728.0,-728.0,0000909832-22-000021,MATCH
companyfacts_api,capex,2020,2810.0,2810.0,0000909832-22-000021,MATCH
companyfacts_api,cfi,2020,-3891.0,-3891.0,0000909832-22-000021,MATCH
companyfacts_api,dividends_paid,2020,1479.0,1479.0,0000909832-22-000021,MATCH
companyfacts_api,buybacks,2020,196.0,196.0,0000909832-22-000021,MATCH
companyfacts_api,debt_issued,2020,3992.0,3992.0,0000909832-22-000021,MATCH
companyfacts_api,debt_repaid,2020,3200.0,3200.0,0000909832-22-000021,MATCH
companyfacts_api,cff,2020,-1147.0,-1147.0,0000909832-22-000021,MATCH
companyfacts_api,fx_effect,2020,70.0,70.0,0000909832-22-000021,MATCH
companyfacts_api,net_change_cash,2020,3893.0,3893.0,0000909832-22-000021,MATCH
companyfacts_api,income_taxes_paid,2020,1052.0,1052.0,0000909832-22-000021,MATCH
companyfacts_api,interest_paid,2020,124.0,124.0,0000909832-22-000021,MATCH
companyfacts_api,cfo,2021,8958.0,8958.0,0000909832-23-000042,MATCH
companyfacts_api,d_and_a,2021,1781.0,1781.0,0000909832-23-000042,MATCH
companyfacts_api,sbc,2021,665.0,665.0,0000909832-23-000042,MATCH
companyfacts_api,chg_inventories,2021,1892.0,1892.0,0000909832-23-000042,MATCH
companyfacts_api,chg_accounts_payable,2021,1838.0,1838.0,0000909832-23-000042,MATCH
companyfacts_api,chg_other_wc,2021,-1057.0,-1057.0,0000909832-23-000042,MATCH
companyfacts_api,capex,2021,3588.0,3588.0,0000909832-23-000042,MATCH
companyfacts_api,cfi,2021,-3535.0,-3535.0,0000909832-23-000042,MATCH
companyfacts_api,dividends_paid,2021,5748.0,5748.0,0000909832-23-000042,MATCH
companyfacts_api,buybacks,2021,496.0,496.0,0000909832-23-000042,MATCH
companyfacts_api,debt_repaid,2021,94.0,94.0,0000909832-23-000042,MATCH
companyfacts_api,cff,2021,-6488.0,-6488.0,0000909832-23-000042,MATCH
companyfacts_api,fx_effect,2021,46.0,46.0,0000909832-23-000042,MATCH
companyfacts_api,net_change_cash,2021,-1019.0,-1019.0,0000909832-23-000042,MATCH
companyfacts_api,income_taxes_paid,2021,1527.0,1527.0,0000909832-23-000042,MATCH
companyfacts_api,interest_paid,2021,149.0,149.0,0000909832-23-000042,MATCH
companyfacts_api,cfo,2022,7392.0,7392.0,0000909832-24-000049,MATCH
companyfacts_api,d_and_a,2022,1900.0,1900.0,0000909832-24-000049,MATCH
companyfacts_api,sbc,2022,724.0,724.0,0000909832-24-000049,MATCH
companyfacts_api,chg_inventories,2022,4003.0,4003.0,0000909832-24-000049,MATCH
companyfacts_api,chg_accounts_payable,2022,1891.0,1891.0,0000909832-24-000049,MATCH
companyfacts_api,chg_other_wc,2022,-549.0,-549.0,0000909832-24-000049,MATCH
companyfacts_api,capex,2022,3891.0,3891.0,0000909832-24-000049,MATCH
companyfacts_api,cfi,2022,-3915.0,-3915.0,0000909832-24-000049,MATCH
companyfacts_api,dividends_paid,2022,1498.0,1498.0,0000909832-24-000049,MATCH
companyfacts_api,buybacks,2022,439.0,439.0,0000909832-24-000049,MATCH
companyfacts_api,debt_issued,2022,0.0,0.0,0000909832-24-000049,MATCH
companyfacts_api,debt_repaid,2022,800.0,800.0,0000909832-24-000049,MATCH
companyfacts_api,cff,2022,-4283.0,-4283.0,0000909832-24-000049,MATCH
companyfacts_api,fx_effect,2022,-249.0,-249.0,0000909832-24-000049,MATCH
companyfacts_api,net_change_cash,2022,-1055.0,-1055.0,0000909832-24-000049,MATCH
companyfacts_api,income_taxes_paid,2022,1940.0,1940.0,0000909832-24-000049,MATCH
companyfacts_api,interest_paid,2022,145.0,145.0,0000909832-24-000049,MATCH
companyfacts_api,cfo,2023,11068.0,11068.0,0000909832-24-000049,MATCH
companyfacts_api,d_and_a,2023,2077.0,2077.0,0000909832-24-000049,MATCH
